rank,node_number,x_n,y_n,z_n,t_n,score
1,11731,0.3625,0.6756562500000001,0.8040477050957715,0.0,11115.554666666665
2,13943,0.875,0.67003125,0.7344705457173835,0.13793103448275862,10011.999199999998
3,20375,0.6125,0.89625,0.933249006143838,0.6896551724137931,9999.899199999998
4,18071,0.625,0.0962375,0.9258523069509698,0.27586206896551724,9999.88811111111
5,11848,0.375,0.798375,0.9183833273099626,0.13793103448275862,9999.399199999998
6,7406,0.375,0.36428125,0.822816528129141,0.48275862068965514,9000.499299999998
7,12813,0.6125,0.798375,0.9183833273099626,0.8275862068965517,8334.166
8,11551,0.3625,0.809375,0.8795084929526562,0.8275862068965517,7500.499416666666
9,78,0.8125,0.90625,0.62643055053608,0.6896551724137931,5999.899299999999
10,12769,0.6125,0.6891875,0.8427538850740873,0.0,4438.88811111111
11,10756,0.1125,0.709,0.8218527888206241,0.0,4437.443666666666
12,17832,0.625,0.9400000000000001,0.8226478737501505,0.6896551724137931,3999.899299999999
13,1612,0.4375,0.703125,0.6023370678231538,0.27586206896551724,3330.332555555555
14,3049,0.125,0.121875,0.842561137212384,0.48275862068965514,2999.4992999999995
15,15471,0.625,0.34940625000000003,0.7574509095289723,0.3448275862068966,2994.9992999999995
16,19775,0.8032,0.73921875,0.9406336585953499,1.0,2531.8978481012655
17,22149,0.6961875,0.46343750000000006,0.9769425370437297,0.0,2222.3325555555552
18,15642,0.39885000000000004,0.6728125,0.7949765088543549,0.27586206896551724,2221.7769999999996
19,9956,0.8625,0.590625,0.8142633417660522,0.13793103448275862,2002.8992999999996
20,21993,0.3032125,0.47046875000000005,0.9809300084327188,0.6896551724137931,2000.3992999999996
21,15865,0.20421499999999998,0.323353125,0.812853873027346,0.48275862068965514,2000.1992999999995
22,22305,0.5414749999999999,0.77596875,0.9769545837850862,0.3448275862068966,2000.0992999999996
23,23659,0.6962125,0.8009375000000001,0.9870617997831587,0.3448275862068966,1999.8992999999996
24,4633,0.6125,0.0487840625,0.7085905312612938,0.48275862068965514,1999.6992999999995
25,388,0.1875,0.59375,0.62643055053608,0.13793103448275862,1997.3992999999996
26,8600,0.625,0.61278125,0.7551740754126008,0.9655172413793103,1984.4992999999997
27,1604,0.875,0.6875,0.6023370678231538,1.0,1264.3662025316455
28,21437,0.6125,0.5587500000000001,0.9547885796891941,0.9655172413793103,1003.4992999999998
29,10186,0.8625,0.638375,0.8049271172147935,0.9655172413793103,1001.9992999999998
30,2249,0.1125,0.21131875,0.908167690639682,0.48275862068965514,1000.1992999999998
31,4374,0.6125,0.0296875,0.62643055053608,0.9655172413793103,1000.0992999999999
32,11648,0.3625,0.9671875,0.716781110709553,0.9655172413793103,999.7192999999999
33,10974,0.125,0.921625,0.7775207806288399,0.9655172413793103,800.2293999999998
34,2756,0.125,0.125,0.8807252138296592,0.48275862068965514,700.1393999999999
35,15799,0.24392624999999998,0.329084375,0.7783640525237921,0.48275862068965514,700.1293999999999
36,15862,0.26345,0.324653125,0.8087700277075051,0.9655172413793103,400.03939999999994
37,13537,0.8625,0.778125,0.7482110589085652,0.6206896551724137,299.4993999999999
38,3946,0.375,0.25,0.842561137212384,1.0,114.44999999999999
39,174,0.4375,0.8125,0.62643055053608,0.3448275862068966,99.95139999999998
40,7194,0.1125,0.65003125,0.7478014697024454,1.0,94.55696202531645
41,8208,0.3625,0.65003125,0.7478014697024454,1.0,92.36708860759492
42,9390,0.875,0.65003125,0.7478014697024454,1.0,91.51898734177215
43,8376,0.625,0.65003125,0.7478014697024454,1.0,88.20253164556961
44,7195,0.1125,0.64378125,0.7470545717383447,1.0,87.84810126582278
45,16063,0.125,0.64625,0.7619563907962895,1.0,84.0506329113924
46,6349,0.125,0.64609375,0.762462353933261,1.0,83.29113924050633
47,9384,0.875,0.64378125,0.7470545717383447,0.27586206896551724,82.33333333333331
48,7195,0.1125,0.64378125,0.7470545717383447,0.27586206896551724,81.55555555555554
49,9384,0.875,0.64378125,0.7470545717383447,0.0,81.44444444444443
50,7195,0.1125,0.64378125,0.7470545717383447,0.0,80.66666666666666
51,9384,0.875,0.64378125,0.7470545717383447,1.0,79.97468354430379
52,7195,0.1125,0.64378125,0.7470545717383447,0.3448275862068966,79.39999999999999
53,7195,0.1125,0.64378125,0.7470545717383447,0.6206896551724137,79.29999999999998
54,8370,0.625,0.64378125,0.7470545717383447,1.0,79.25316455696202
55,7196,0.1125,0.63753125,0.7463052644259728,1.0,79.24050632911391
56,7195,0.1125,0.64378125,0.7470545717383447,0.13793103448275862,79.09999999999998
57,7196,0.1125,0.63753125,0.7463052644259728,0.27586206896551724,78.88888888888887
58,7196,0.1125,0.63753125,0.7463052644259728,0.0,78.55555555555554
59,9384,0.875,0.64378125,0.7470545717383447,0.3448275862068966,78.49999999999999
60,9384,0.875,0.64378125,0.7470545717383447,0.6206896551724137,78.29999999999998
61,7195,0.1125,0.64378125,0.7470545717383447,0.48275862068965514,77.99999999999999
62,9384,0.875,0.64378125,0.7470545717383447,0.48275862068965514,76.99999999999999
63,9384,0.875,0.64378125,0.7470545717383447,0.9655172413793103,76.79999999999998
64,9384,0.875,0.64378125,0.7470545717383447,0.6896551724137931,76.69999999999999
65,9383,0.875,0.63753125,0.7463052644259728,0.27586206896551724,76.2222222222222
66,10906,0.125,0.66559375,0.7470545717383447,1.0,76.0759493670886
67,9383,0.875,0.63753125,0.7463052644259728,0.0,75.55555555555554
68,9384,0.875,0.64378125,0.7470545717383447,0.13793103448275862,75.09999999999998
69,8369,0.625,0.63753125,0.7463052644259728,1.0,74.62025316455696
70,10920,0.125,0.6639062499999999,0.7352017829177208,1.0,73.92405063291139
71,7142,0.1125,0.64940625,0.7669437417178653,1.0,72.32911392405063
72,7196,0.1125,0.63753125,0.7463052644259728,0.13793103448275862,71.79999999999998
73,8209,0.3625,0.64378125,0.7470545717383447,0.27586206896551724,71.44444444444443
74,7362,0.375,0.65003125,0.7478014697024454,1.0,71.26582278481011
75,8370,0.625,0.64378125,0.7470545717383447,0.27586206896551724,71.1111111111111
76,8209,0.3625,0.64378125,0.7470545717383447,0.0,71.1111111111111
77,7195,0.1125,0.64378125,0.7470545717383447,0.9655172413793103,71.09999999999998
78,7195,0.1125,0.64378125,0.7470545717383447,0.6896551724137931,70.59999999999998
79,8370,0.625,0.64378125,0.7470545717383447,0.0,70.55555555555554
80,9222,0.6125,0.65003125,0.7478014697024454,1.0,70.41772151898734
81,7196,0.1125,0.63753125,0.7463052644259728,0.6206896551724137,70.29999999999998
82,9383,0.875,0.63753125,0.7463052644259728,0.9655172413793103,70.1
83,9383,0.875,0.63753125,0.7463052644259728,0.6896551724137931,70.1
84,9220,0.6125,0.6420625,0.7767256956993133,0.48275862068965514,69.99999999999999
85,7142,0.1125,0.64940625,0.7669437417178653,0.27586206896551724,69.99999999999999
86,9392,0.875,0.64940625,0.7669437417178653,0.0,69.99999999999999
87,7196,0.1125,0.63753125,0.7463052644259728,0.3448275862068966,69.89999999999999
88,7196,0.1125,0.63753125,0.7463052644259728,0.9655172413793103,69.69999999999999
89,7196,0.1125,0.63753125,0.7463052644259728,0.6896551724137931,69.69999999999999
90,9392,0.875,0.64940625,0.7669437417178653,0.27586206896551724,69.66666666666666
91,7142,0.1125,0.64940625,0.7669437417178653,0.0,69.33333333333331
92,9383,0.875,0.63753125,0.7463052644259728,0.6206896551724137,69.29999999999998
93,9383,0.875,0.63753125,0.7463052644259728,0.3448275862068966,69.1
