rank,node_number,x_n,y_n,z_n,t_n,score
1,7983,0.3625,0.617375,0.7440320443320082,0.6206896551724137,41684.999333333326
2,3686,0.3625,0.1443125,0.8764004336826888,0.8275862068965517,20000.4996
3,4503,0.6125,0.21875,0.62643055053608,0.13793103448275862,16665.555111111113
4,18274,0.625,0.405625,0.9069871099867486,0.3448275862068966,15387.69169230769
5,13087,0.625,0.840625,0.7981448018311047,0.0,10000.999199999998
6,15292,0.125,0.34628125,0.7456993133357427,0.6206896551724137,8334.999333333331
7,7510,0.375,0.5,0.8289001325141548,0.3448275862068966,7691.768615384614
8,16024,0.625,0.31815625000000003,0.828538730273461,0.6206896551724137,6666.999416666666
9,10894,0.125,0.6875,0.8107697867726779,0.3448275862068966,6139.3840769230765
10,10451,0.1125,0.6593125,0.6440983014094687,0.0,6005.899299999999
11,19432,0.17245625,0.41815625,0.9281773280327671,1.0,5876.5874117647045
12,23525,0.24392624999999998,0.80096875,0.9870617997831587,0.3448275862068966,5384.691769230769
13,20130,0.42246249999999996,0.5775,0.9300686664257317,0.27586206896551724,4998.749416666666
14,18657,0.52335,0.28025625,0.917588242380436,0.6896551724137931,4666.599533333333
15,22795,0.8328,0.5232187500000001,0.9824478978436332,0.6896551724137931,4000.6661999999997
16,17552,0.4048,0.61075,0.8663293579086857,0.0,3997.799299999999
17,23303,0.14872625,0.48221875000000003,0.9856041440790265,0.6896551724137931,3997.532866666666
18,5898,0.875,0.265309375,0.8349837368991687,0.3448275862068966,3846.307153846153
19,20085,0.125,0.58375,0.933249006143838,1.0,3537.9991764705874
20,15751,0.6486,0.66346875,0.7631128779665101,0.48275862068965514,3521.1760588235293
21,5009,0.625,0.1875,0.7023551379351886,0.3448275862068966,3077.461
22,18177,0.565125,0.4025,0.9011564871702205,0.3448275862068966,3076.2302307692303
23,13091,0.625,0.840625,0.7000216841344417,0.6896551724137931,2665.4662
24,10140,0.8625,0.434375,0.6534465727020841,0.27586206896551724,2500.666083333333
25,24335,0.8625,0.8275,0.9975906517287073,0.48275862068965514,2352.764294117647
26,12384,0.6125,0.8815625,0.8742561137212383,0.3448275862068966,1538.7686923076922
27,2221,0.1125,0.3125,0.7872545476448619,1.0,1176.9403529411761
28,3902,0.375,0.3390625,0.6552355137935189,1.0,1175.7521176470586
29,10250,0.8625,0.6005625,0.8888085772798457,1.0,1170.9403529411761
30,2568,0.1125,0.302878125,0.8251897361763642,1.0,1058.7875294117646
31,3084,0.125,0.039074375,0.6612275629442236,1.0,823.7169411764704
32,3348,0.3625,0.089403125,0.9134441633538127,0.6206896551724137,750.0994999999999
33,8646,0.625,0.615375,0.8251897361763642,0.6896551724137931,665.9795333333333
34,7474,0.375,0.465625,0.675142753885074,0.6896551724137931,532.5595999999999
35,10729,0.1125,0.65934375,0.7478014697024454,1.0,169.64705882352936
36,16063,0.125,0.64625,0.7619563907962895,1.0,161.7647058823529
37,6342,0.125,0.64378125,0.7470545717383447,1.0,149.6470588235294
38,16064,0.14860375,0.6446875000000001,0.7675219853029756,1.0,147.17647058823528
39,10913,0.125,0.66328125,0.762462353933261,1.0,145.52941176470586
40,15587,0.12499999999999992,0.66190625,0.7740151788941092,1.0,145.41176470588232
41,16063,0.125,0.64625,0.7619563907962895,0.0,145.39999999999998
42,10445,0.1125,0.65996875,0.7669437417178653,1.0,142.82352941176467
43,16267,0.83895,0.6446875000000001,0.767509938561619,1.0,142.23529411764702
44,8208,0.3625,0.65003125,0.7478014697024454,1.0,139.17647058823528
45,16081,0.1843175,0.64546875,0.7646910010842067,1.0,135.17647058823528
46,15798,0.8625,0.6619375,0.7741838332730996,1.0,135.05882352941174
47,16251,0.8033625000000001,0.64546875,0.7646910010842067,1.0,134.4705882352941
48,10720,0.1125,0.66328125,0.762462353933261,1.0,134.23529411764704
49,7194,0.1125,0.65003125,0.7478014697024454,1.0,133.17647058823528
50,10716,0.1125,0.6639062499999999,0.7352017829177208,1.0,131.6470588235294
51,16082,0.1645725,0.64678125,0.7600048186965426,1.0,129.7647058823529
52,14261,0.875,0.65996875,0.7669437417178653,1.0,128.58823529411762
53,16250,0.82305,0.64678125,0.7600048186965426,1.0,128.35294117647055
54,13930,0.875,0.66559375,0.7470545717383447,0.0,127.99999999999997
55,10730,0.1125,0.66559375,0.7470545717383447,0.0,127.99999999999997
56,8376,0.625,0.65003125,0.7478014697024454,1.0,127.41176470588232
57,6342,0.125,0.64378125,0.7470545717383447,0.6206896551724137,126.66666666666664
58,14261,0.875,0.65996875,0.7669437417178653,0.0,125.99999999999997
59,6606,0.125,0.64546875,0.7352017829177208,1.0,123.41176470588232
60,16064,0.14860375,0.6446875000000001,0.7675219853029756,0.0,122.39999999999998
61,9223,0.6125,0.64378125,0.7470545717383447,1.0,122.17647058823526
62,16295,0.6448750000000001,0.63196875,0.8246837730393927,1.0,121.41176470588233
63,16080,0.20421625,0.6441874999999999,0.7693289965064449,1.0,121.2941176470588
64,10445,0.1125,0.65996875,0.7669437417178653,0.0,120.99999999999997
65,10729,0.1125,0.65934375,0.7478014697024454,0.6206896551724137,120.66666666666664
66,16252,0.783525,0.6441874999999999,0.7693289965064449,1.0,120.11764705882351
67,10913,0.125,0.66328125,0.762462353933261,0.0,119.99999999999997
68,10716,0.1125,0.6639062499999999,0.7352017829177208,0.0,119.99999999999997
69,6349,0.125,0.64609375,0.762462353933261,1.0,119.52941176470586
70,6341,0.125,0.63753125,0.7463052644259728,0.0,118.49999999999997
71,16081,0.1843175,0.64546875,0.7646910010842067,0.0,118.09999999999998
72,7736,0.375,0.44396874999999997,0.930333694735574,1.0,117.77576470588232
73,6342,0.125,0.64378125,0.7470545717383447,0.3448275862068966,117.69230769230768
74,10730,0.1125,0.66559375,0.7470545717383447,1.0,117.05882352941174
