rank,node_number,x_n,y_n,z_n,t_n,score
1,6958,0.1125,0.625,0.62643055053608,0.6206896551724137,36636.584390243894
2,2764,0.125,0.131390625,0.8653294783760993,0.0,12657.593924050632
3,18048,0.625,0.07753125000000001,0.8752680399951813,0.0,11392.151012658227
4,12231,0.375,0.74884375,0.9653294783760993,0.8275862068965517,9978.799199999998
5,1602,0.75,0.6875,0.6023370678231538,0.6896551724137931,6024.599299999999
6,4391,0.6125,0.071603125,0.7551740754126008,0.48275862068965514,5003.4992999999995
7,6714,0.125,0.434375,0.9504276593181543,0.48275862068965514,5000.099299999999
8,9497,0.875,0.4375,0.8461510661366101,0.6206896551724137,4877.194268292682
9,17121,0.375,0.6993750000000001,0.868027948439947,0.8275862068965517,4008.899299999999
10,6603,0.125,0.627125,0.7330092759908444,0.3448275862068966,3422.1582954545447
11,9246,0.6125,0.5690625,0.8742561137212383,0.3448275862068966,3409.3173863636357
12,23558,0.33285,0.8067812499999999,0.9998554391037224,1.0,2607.720632911392
13,17798,0.5827,0.92325,0.8803999518130344,0.27586206896551724,2594.8277957336777
14,16950,0.5887374999999999,0.3821875,0.8710516805204191,0.27586206896551724,2585.3901745313506
15,6857,0.1125,0.34684375,0.7478014697024454,0.27586206896551724,2584.6144796380086
16,18622,0.4224875,0.280646875,0.9034815082520178,1.0,2531.7712658227847
17,17665,0.6724875,0.61503125,0.8702565955908925,0.0,2531.5181012658227
18,17688,0.19611874999999998,0.9321875000000001,0.8440669798819419,0.0,2526.961139240506
19,16286,0.8625,0.64625,0.7784001927478615,0.6206896551724137,2442.9259756097554
20,23715,0.7439250000000001,0.80096875,0.9991205878809781,0.13793103448275862,2218.221444444444
21,13547,0.8625,0.78125,0.7736176364293459,0.9655172413793103,2141.3822340425527
22,3925,0.375,0.309375,0.7324515118660402,0.8275862068965517,2006.2992999999997
23,16474,0.572875,0.94575,0.8208047223226117,0.8275862068965517,2002.0992999999996
24,17662,0.8032499999999999,0.6235937500000001,0.8483194795807734,0.6896551724137931,2000.5992999999996
25,21998,0.15475,0.47240624999999997,0.9818817009998795,0.6896551724137931,2000.1992999999995
26,11526,0.3625,0.778125,0.8699915672810504,0.6206896551724137,1215.4625609756094
