rank,node_number,x_n,y_n,z_n,t_n,score
1,18688,0.625,0.2899875,0.8847729189254305,0.13793103448275862,10000.999199999998
2,12645,0.6125,0.9375,0.6996542585230695,0.6896551724137931,9824.355643564355
3,14253,0.875,0.7078125,0.9004216359474762,0.8275862068965517,8938.392142857141
4,10550,0.1125,0.8125,0.7276641368509817,0.8275862068965517,8933.034999999998
5,6582,0.125,0.625,0.62643055053608,0.0,7496.407435412728
6,11960,0.375,0.871875,0.8586917238886881,0.6896551724137931,5959.702277227721
7,6201,0.875,0.25,0.8618600168654379,0.0,5041.208947700063
8,5940,0.875,0.3375625,0.6440983014094687,0.13793103448275862,5001.9992999999995
9,9290,0.6125,0.51275,0.9323936875075292,0.48275862068965514,4999.199299999999
10,23666,0.79145,0.8009375000000001,0.9870617997831587,0.8275862068965517,3573.838660714285
11,9859,0.8625,0.456875,0.8973135766775088,0.6206896551724137,3333.776999999999
12,7783,0.3625,0.496875,0.9657872545476448,0.3448275862068966,3333.554777777777
13,15535,0.125,0.65878125,0.7456993133357427,0.13793103448275862,3012.4992999999995
14,16385,0.342625,0.9444687500000001,0.8246837730393927,0.9655172413793103,3004.7992999999997
15,23366,0.4047375000000001,0.49428124999999995,0.9877966510059029,0.27586206896551724,2597.7912987012983
16,19694,0.56515,0.7306874999999999,0.9282255149981928,0.0,2522.116320100819
17,22260,0.15475,0.7849062499999999,0.9940127695458378,1.0,2493.291829268292
18,3073,0.125,0.0625,0.65293579086857,1.0,2449.5113414634143
19,19380,0.6547875000000001,0.11616562500000001,0.955957113600771,1.0,2439.1454878048776
20,1705,0.625,0.796875,0.6023370678231538,0.9655172413793103,2015.3992999999996
21,8620,0.625,0.6546875,0.6565474039272376,0.48275862068965514,2014.5992999999996
22,10126,0.8625,0.4375,0.6813612817732804,0.13793103448275862,2003.4992999999997
23,17869,0.74375,0.9290625,0.8664618720636067,0.48275862068965514,2001.8992999999996
24,3448,0.3625,0.184375,0.7023551379351886,0.48275862068965514,2001.6992999999995
25,23494,0.672475,0.49000000000000005,0.9993735694494639,0.9655172413793103,1999.8992999999996
26,18882,0.4224875,0.59315625,0.9168654378990484,0.9655172413793103,1999.6992999999995
27,22298,0.5414375,0.7790625,0.9788338754366943,0.13793103448275862,1998.4992999999997
28,20048,0.332925,0.5818125000000001,0.9233224912661124,0.8275862068965517,1786.3386607142854
29,7878,0.3625,0.35481250000000003,0.7767256956993133,0.0,1256.0545683679898
30,2376,0.1125,0.090625,0.7952776773882665,0.6896551724137931,987.8408910891087
31,9344,0.875,0.54440625,0.96883508011083,0.6896551724137931,594.098415841584
32,14240,0.875,0.79984375,0.9989157932779182,0.0,545.5064902331443
33,13950,0.875,0.6578125,0.6552355137935189,0.27586206896551724,535.4277922077921
34,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,377.40259740259734
35,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,376.3636363636363
36,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,374.9350649350649
37,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,372.4675324675324
38,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,369.99999999999994
39,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,367.9220779220779
40,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,367.40259740259734
41,11640,0.3625,0.9375,0.62643055053608,1.0,364.87804878048775
42,12648,0.6125,0.9375,0.62643055053608,1.0,364.14634146341456
43,13656,0.8625,0.9375,0.62643055053608,1.0,363.170731707317
44,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,362.2077922077922
45,11008,0.125,0.9375,0.62643055053608,1.0,358.78048780487796
46,12016,0.375,0.9375,0.62643055053608,1.0,357.43902439024384
47,13024,0.625,0.9375,0.62643055053608,1.0,355.12195121951214
48,10632,0.1125,0.9375,0.62643055053608,1.0,354.51219512195115
49,14032,0.875,0.9375,0.62643055053608,1.0,349.99999999999994
50,11640,0.3625,0.9375,0.62643055053608,0.0,326.27599243856326
51,12648,0.6125,0.9375,0.62643055053608,0.0,325.2678008821676
52,13656,0.8625,0.9375,0.62643055053608,0.0,324.0075614366729
53,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,323.33333333333326
54,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,323.33333333333326
55,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,322.2222222222222
56,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,321.11111111111103
57,11640,0.3625,0.9375,0.62643055053608,0.3448275862068966,321.11111111111103
58,11008,0.125,0.9375,0.62643055053608,0.0,320.10081915563956
59,12648,0.6125,0.9375,0.62643055053608,0.3448275862068966,319.99999999999994
60,13656,0.8625,0.9375,0.62643055053608,0.3448275862068966,318.8888888888888
61,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,317.7777777777777
