rank,node_number,x_n,y_n,z_n,t_n,score
1,5954,0.875,0.300271875,0.7551740754126008,0.27586206896551724,22227.776888888886
2,20493,0.3625,0.1399875,0.9688591735935429,0.27586206896551724,8889.221444444443
3,23049,0.7734125,0.8396250000000001,0.9927237682206963,0.0,7540.378860759492
4,10484,0.1125,0.71875,0.8009998795325863,0.6896551724137931,7483.772924528301
5,20705,0.14875875,0.44781250000000006,0.9647150945669196,0.6206896551724137,6999.899299999999
6,11581,0.3625,0.84375,0.7725695699313335,0.8275862068965517,6953.303739130433
7,19744,0.5235125,0.73728125,0.9507529213347788,1.0,6666.5547777777765
8,3433,0.3625,0.15625,0.8226719672328634,0.0,6333.037088607594
9,15927,0.4344875,0.322059375,0.8013853752559932,0.13793103448275862,6000.199299999999
10,17160,0.5889,0.685375,0.8472352728586917,0.3448275862068966,5989.199299999999
11,22265,0.19618625,0.7759375000000001,0.9891458860378268,0.27586206896551724,5569.2214444444435
12,22993,0.4344625000000001,0.84859375,0.987411155282496,0.6206896551724137,4987.199299999999
13,23035,0.8625,0.8369375,0.9940127695458378,0.48275862068965514,4806.113708086784
14,18251,0.8625,0.405625,0.9069871099867486,0.6896551724137931,4717.074811320754
15,16705,0.375,0.055655625,0.8341284182628599,0.48275862068965514,3944.6738658777113
16,19027,0.14867375,0.9134375,0.9016985905312612,0.8275862068965517,3466.1733043478257
17,7657,0.375,0.559375,0.9468497771352848,0.6206896551724137,3001.0992999999994
18,3535,0.3625,0.30485937500000004,0.7440320443320082,0.9655172413793103,1995.3992999999996
19,210,0.0625,0.78125,0.62643055053608,0.6896551724137931,1863.3955660377355
20,11810,0.3625,0.8004999999999999,0.8906396819660282,0.48275862068965514,1029.387869822485
21,13972,0.875,0.84603125,0.8808095410191542,0.48275862068965514,1008.0860946745561
22,9302,0.8625,0.50559375,0.8852547885796891,0.13793103448275862,990.9092999999998
23,9458,0.875,0.3795,0.7440320443320082,0.6896551724137931,938.9899056603772
24,4333,0.6125,0.28247187500000004,0.9134441633538127,0.8275862068965517,868.9559130434782
25,9020,0.6125,0.5625,0.7885315022286471,0.8275862068965517,863.268956521739
26,11640,0.3625,0.9375,0.62643055053608,0.0,680.6329113924049
27,12648,0.6125,0.9375,0.62643055053608,0.0,679.3670886075948
28,13024,0.625,0.9375,0.62643055053608,0.0,673.9240506329113
29,12016,0.375,0.9375,0.62643055053608,0.0,672.1518987341772
30,14032,0.875,0.9375,0.62643055053608,0.0,662.6582278481012
31,13656,0.8625,0.9375,0.62643055053608,0.0,661.8987341772151
32,10632,0.1125,0.9375,0.62643055053608,0.0,659.3670886075948
33,11640,0.3625,0.9375,0.62643055053608,1.0,653.8888888888888
34,12648,0.6125,0.9375,0.62643055053608,1.0,649.5555555555554
35,14032,0.875,0.9375,0.62643055053608,1.0,648.3333333333333
36,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,641.4444444444443
37,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,640.2222222222221
38,12016,0.375,0.9375,0.62643055053608,1.0,639.3999999999999
39,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,634.8888888888888
40,11008,0.125,0.9375,0.62643055053608,0.0,634.8101265822784
41,13024,0.625,0.9375,0.62643055053608,1.0,633.9999999999999
42,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,633.4444444444443
43,10632,0.1125,0.9375,0.62643055053608,1.0,631.3333333333333
44,11516,0.3625,0.77103125,0.8653776653415252,0.27586206896551724,628.0326666666665
45,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,625.2222222222221
46,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,624.111111111111
47,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,623.9999999999999
48,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,620.8888888888888
49,7727,0.375,0.434375,0.9282857487049753,0.8275862068965517,608.0603478260869
50,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,606.9999999999999
51,11008,0.125,0.9375,0.62643055053608,0.9655172413793103,605.9999999999999
52,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,604.9999999999999
53,14032,0.875,0.9375,0.62643055053608,0.9655172413793103,602.9999999999999
54,12016,0.375,0.9375,0.62643055053608,0.9655172413793103,602.9999999999999
55,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,601.2222222222221
56,13024,0.625,0.9375,0.62643055053608,0.9655172413793103,594.9999999999999
57,10632,0.1125,0.9375,0.62643055053608,0.9655172413793103,593.9999999999999
58,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,579.9999999999999
59,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,578.8999999999999
60,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,578.0999999999999
61,11640,0.3625,0.9375,0.62643055053608,0.13793103448275862,574.4999999999999
62,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,573.9999999999999
63,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,573.3999999999999
64,12648,0.6125,0.9375,0.62643055053608,0.13793103448275862,573.2999999999998
65,11640,0.3625,0.9375,0.62643055053608,0.3448275862068966,572.9999999999999
66,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,572.3999999999999
67,12648,0.6125,0.9375,0.62643055053608,0.3448275862068966,572.1999999999999
68,13656,0.8625,0.9375,0.62643055053608,0.3448275862068966,571.3999999999999
69,13656,0.8625,0.9375,0.62643055053608,0.13793103448275862,570.0999999999999
70,11640,0.3625,0.9375,0.62643055053608,0.48275862068965514,569.0335305719921
71,13024,0.625,0.9375,0.62643055053608,0.13793103448275862,568.4999999999999
72,13656,0.8625,0.9375,0.62643055053608,0.48275862068965514,568.0473372781064
73,12016,0.375,0.9375,0.62643055053608,0.13793103448275862,567.6999999999999
74,12648,0.6125,0.9375,0.62643055053608,0.48275862068965514,567.0611439842208
75,13024,0.625,0.9375,0.62643055053608,0.3448275862068966,566.9999999999999
76,12016,0.375,0.9375,0.62643055053608,0.3448275862068966,566.7999999999998
77,11008,0.125,0.9375,0.62643055053608,0.3448275862068966,565.7999999999998
78,14032,0.875,0.9375,0.62643055053608,0.6206896551724137,564.9999999999999
79,11008,0.125,0.9375,0.62643055053608,0.13793103448275862,562.6999999999999
80,12016,0.375,0.9375,0.62643055053608,0.48275862068965514,562.1301775147928
81,11008,0.125,0.9375,0.62643055053608,0.48275862068965514,562.1301775147928
82,13024,0.625,0.9375,0.62643055053608,0.48275862068965514,562.1301775147928
83,10632,0.1125,0.9375,0.62643055053608,0.6206896551724137,561.9999999999999
84,14032,0.875,0.9375,0.62643055053608,0.13793103448275862,559.5999999999999
85,14032,0.875,0.9375,0.62643055053608,0.3448275862068966,558.9999999999999
86,10632,0.1125,0.9375,0.62643055053608,0.13793103448275862,556.8999999999999
87,10632,0.1125,0.9375,0.62643055053608,0.3448275862068966,555.9999999999999
88,14032,0.875,0.9375,0.62643055053608,0.48275862068965514,554.240631163708
89,10632,0.1125,0.9375,0.62643055053608,0.48275862068965514,552.2682445759368
90,11639,0.3625,0.9375,0.6508384531984098,0.0,542.0253164556962
91,12647,0.6125,0.9375,0.6508384531984098,0.0,541.0126582278481
92,13021,0.625,0.9375,0.6508384531984098,0.0,536.9620253164557
93,12013,0.375,0.9375,0.6508384531984098,0.0,534.1772151898733
94,11008,0.125,0.9375,0.62643055053608,1.0,526.8999999999999
95,14029,0.875,0.9375,0.6508384531984098,0.0,522.1518987341772
96,11639,0.3625,0.9375,0.6508384531984098,1.0,521.6666666666665
97,13656,0.8625,0.9375,0.62643055053608,0.6896551724137931,520.754716981132
98,10631,0.1125,0.9375,0.6508384531984098,0.0,517.2151898734177
99,14029,0.875,0.9375,0.6508384531984098,1.0,514.7777777777777
100,12647,0.6125,0.9375,0.6508384531984098,1.0,512.9999999999999
101,11639,0.3625,0.9375,0.6508384531984098,0.27586206896551724,512.7777777777777
102,12647,0.6125,0.9375,0.6508384531984098,0.27586206896551724,511.9999999999999
103,13021,0.625,0.9375,0.6508384531984098,0.27586206896551724,507.8888888888888
104,12017,0.375,0.934375,0.62643055053608,0.0,507.21518987341767
105,13025,0.625,0.934375,0.62643055053608,0.0,507.08860759493666
106,11640,0.3625,0.9375,0.62643055053608,0.6896551724137931,506.6037735849056
107,11008,0.125,0.9375,0.62643055053608,0.6896551724137931,505.6603773584905
108,12013,0.375,0.9375,0.6508384531984098,0.27586206896551724,505.44444444444434
109,13655,0.8625,0.9375,0.6508384531984098,0.0,504.4303797468354
110,13656,0.8625,0.9375,0.62643055053608,0.8275862068965517,504.34782608695645
111,11009,0.125,0.934375,0.62643055053608,0.0,504.05063291139237
112,13021,0.625,0.9375,0.6508384531984098,1.0,503.8888888888888
113,12648,0.6125,0.9375,0.62643055053608,0.6896551724137931,503.7735849056603
114,12644,0.6125,0.934375,0.62643055053608,0.0,503.29113924050625
115,13655,0.8625,0.9375,0.6508384531984098,0.9655172413793103,502.9999999999999
116,14032,0.875,0.9375,0.62643055053608,0.6896551724137931,502.8301886792452
117,13652,0.8625,0.934375,0.62643055053608,0.0,502.5316455696202
118,12013,0.375,0.9375,0.6508384531984098,1.0,501.9333333333332
119,12016,0.375,0.9375,0.62643055053608,0.6896551724137931,501.8867924528301
120,11636,0.3625,0.934375,0.62643055053608,0.0,500.632911392405
121,4766,0.625,0.14876562499999998,0.9005421033610408,0.6206896551724137,499.42939999999993
122,14033,0.875,0.934375,0.62643055053608,0.0,496.632911392405
123,10632,0.1125,0.9375,0.62643055053608,0.6896551724137931,495.28301886792445
124,13024,0.625,0.9375,0.62643055053608,0.6896551724137931,495.28301886792445
125,14029,0.875,0.9375,0.6508384531984098,0.27586206896551724,493.55555555555543
126,10631,0.1125,0.9375,0.6508384531984098,1.0,493.33333333333326
127,10631,0.1125,0.9375,0.6508384531984098,0.27586206896551724,488.77777777777766
128,11639,0.3625,0.9375,0.6508384531984098,0.9655172413793103,487.9999999999999
129,11005,0.125,0.9375,0.6508384531984098,0.9655172413793103,486.9999999999999
130,14032,0.875,0.9375,0.62643055053608,0.8275862068965517,486.9565217391304
131,11008,0.125,0.9375,0.62643055053608,0.8275862068965517,486.9565217391304
132,12644,0.6125,0.934375,0.62643055053608,1.0,485.8888888888888
133,14029,0.875,0.9375,0.6508384531984098,0.9655172413793103,484.9999999999999
134,12013,0.375,0.9375,0.6508384531984098,0.9655172413793103,484.9999999999999
135,12647,0.6125,0.9375,0.6508384531984098,0.9655172413793103,484.9999999999999
136,12017,0.375,0.934375,0.62643055053608,1.0,482.8888888888888
137,10628,0.1125,0.934375,0.62643055053608,1.0,480.5555555555555
138,13655,0.8625,0.9375,0.6508384531984098,0.27586206896551724,480.44444444444434
139,13025,0.625,0.934375,0.62643055053608,1.0,478.56666666666655
140,11009,0.125,0.934375,0.62643055053608,1.0,478.5555555555555
141,11640,0.3625,0.9375,0.62643055053608,0.8275862068965517,478.2608695652173
142,12016,0.375,0.9375,0.62643055053608,0.8275862068965517,478.2608695652173
143,10632,0.1125,0.9375,0.62643055053608,0.8275862068965517,478.2608695652173
144,12648,0.6125,0.9375,0.62643055053608,0.8275862068965517,478.2608695652173
145,13021,0.625,0.9375,0.6508384531984098,0.9655172413793103,476.9999999999999
146,10631,0.1125,0.9375,0.6508384531984098,0.9655172413793103,474.9999999999999
147,12017,0.375,0.934375,0.62643055053608,0.27586206896551724,470.8888888888888
148,13025,0.625,0.934375,0.62643055053608,0.27586206896551724,470.8888888888888
149,13024,0.625,0.9375,0.62643055053608,0.8275862068965517,469.56521739130426
150,11009,0.125,0.934375,0.62643055053608,0.27586206896551724,468.33333333333326
151,2103,1.0,0.828125,0.62643055053608,0.6206896551724137,468.3093999999999
152,14033,0.875,0.934375,0.62643055053608,1.0,467.44444444444434
153,12644,0.6125,0.934375,0.62643055053608,0.27586206896551724,467.11111111111103
154,13652,0.8625,0.934375,0.62643055053608,0.27586206896551724,466.9999999999999
155,10628,0.1125,0.934375,0.62643055053608,0.9655172413793103,465.99999999999994
156,11005,0.125,0.9375,0.6508384531984098,0.0,465.18987341772146
157,13025,0.625,0.934375,0.62643055053608,0.9655172413793103,464.99999999999994
158,11639,0.3625,0.9375,0.6508384531984098,0.6206896551724137,464.69999999999993
159,11636,0.3625,0.934375,0.62643055053608,0.27586206896551724,464.5555555555555
160,12647,0.6125,0.9375,0.6508384531984098,0.6206896551724137,463.2999999999999
161,14033,0.875,0.934375,0.62643055053608,0.9655172413793103,461.99999999999994
162,11639,0.3625,0.9375,0.6508384531984098,0.13793103448275862,459.8999999999999
163,11639,0.3625,0.9375,0.6508384531984098,0.3448275862068966,459.69999999999993
164,13021,0.625,0.9375,0.6508384531984098,0.6206896551724137,459.5999999999999
165,14033,0.875,0.934375,0.62643055053608,0.27586206896551724,459.23333333333323
166,13655,0.8625,0.9375,0.6508384531984098,0.6206896551724137,458.8999999999999
167,12013,0.375,0.9375,0.6508384531984098,0.6206896551724137,458.69999999999993
168,12647,0.6125,0.9375,0.6508384531984098,0.13793103448275862,458.69999999999993
169,12647,0.6125,0.9375,0.6508384531984098,0.3448275862068966,458.19999999999993
170,12017,0.375,0.934375,0.62643055053608,0.9655172413793103,456.99999999999994
