rank,node_number,x_n,y_n,z_n,t_n,score
1,5680,0.8625,0.0625,0.7682568365257197,0.27586206896551724,50004.99919999999
2,19331,0.8625,0.11498749999999999,0.9416696783520058,0.27586206896551724,29996.999199999995
3,5966,0.875,0.278125,0.6846187206360679,0.0,11095.999111111109
4,21876,0.5531375,0.14705,0.9743283941693772,0.13793103448275862,9998.499199999998
5,5083,0.625,0.09375,0.62643055053608,0.6206896551724137,6358.999363636362
6,23582,0.4047375000000001,0.8067812499999999,0.9877966510059029,0.0,5555.665888888888
7,20793,0.5414875,0.44159375,0.9585592097337668,1.0,5494.614615384614
8,2881,0.125,0.326846875,0.7344705457173835,0.6206896551724137,5445.453909090908
9,5411,0.8625,0.090625,0.7671364895795687,0.3448275862068966,4542.635727272726
10,22738,0.6125,0.52128125,0.9832791229972292,0.0,4444.5547777777765
11,16789,0.7439250000000001,0.066584375,0.8634260932417781,0.0,4443.88811111111
12,23801,0.5414625,0.197828125,0.9866883508011083,0.13793103448275862,3997.0992999999994
13,2930,0.125,0.278125,0.6846187206360679,0.48275862068965514,3846.845615384615
14,15483,0.7913375,0.3571875,0.7847970124081436,0.9655172413793103,3844.076384615384
15,1383,0.1875,0.46875,0.6023370678231538,0.6896551724137931,3076.845615384615
16,16876,0.29137500000000005,0.37906249999999997,0.8633899530177087,0.6896551724137931,3076.5379230769227
17,12021,0.375,0.934375,0.7324515118660402,0.27586206896551724,2999.6992999999993
18,21831,0.17246375,0.14939375,0.9881580532465968,0.3448275862068966,2719.544818181818
19,9781,0.875,0.43946874999999996,0.9562703288760389,0.9655172413793103,2307.461
20,3523,0.3625,0.278125,0.62643055053608,1.0,2202.9662637362635
21,11243,0.125,0.95859375,0.762462353933261,1.0,2197.691538461538
22,3009,0.125,0.15625,0.6754909047102758,0.13793103448275862,2000.0992999999996
23,13101,0.625,0.8125,0.7023551379351886,0.6206896551724137,1818.5448181818178
24,3172,0.125,0.26985625,0.9224189856643776,0.6896551724137931,1541.5379230769229
25,3796,0.375,0.090625,0.8148897723165883,0.48275862068965514,1541.0763846153843
26,4452,0.6125,0.15625,0.6509613299602457,0.8275862068965517,1331.799533333333
27,12583,0.6125,0.840625,0.8471991326346222,0.27586206896551724,799.8793999999998
28,21802,0.24375,0.15094687499999998,0.9769425370437297,0.13793103448275862,799.0393999999999
29,9778,0.875,0.465625,0.9338392964703047,0.6896551724137931,692.7303076923076
30,3009,0.125,0.15625,0.6754909047102758,0.27586206896551724,600.4393999999999
