rank,node_number,x_n,y_n,z_n,t_n,score
1,3006,0.125,0.17028125,0.8773762197325623,0.0,30003.999199999995
2,2047,1.0,0.046875,0.6023370678231538,0.0,19998.999199999995
3,19152,0.625,0.89940625,0.9279604866883507,0.9655172413793103,16722.49933333333
4,11558,0.3625,0.8125,0.7276641368509817,0.8275862068965517,16654.999555555554
5,19033,0.15476625,0.90134375,0.924587399108541,0.9655172413793103,8359.999333333331
6,6725,0.125,0.45034375000000004,0.8712323816407661,0.48275862068965514,8126.259512195121
7,7613,0.375,0.63971875,0.6958065293338151,0.6206896551724137,8023.699299999998
8,11831,0.375,0.809375,0.9879412119021804,0.6896551724137931,7551.87909774436
9,521,0.3125,0.453125,0.62643055053608,0.6206896551724137,6999.399299999999
10,13506,0.8625,0.71875,0.655524635586074,0.13793103448275862,6108.899299999999
11,18623,0.39878749999999996,0.279090625,0.9063847729189254,0.0,4999.899299999999
12,16914,0.375,0.37128125,0.8280327671364895,0.27586206896551724,4004.399299999999
13,15617,0.3625,0.6743750000000001,0.8154559691603421,0.48275862068965514,3293.41406504065
14,13654,0.8625,0.9375,0.6752463558607397,0.0,2863.5992999999994
15,9833,0.8625,0.49015624999999996,0.9049150704734369,0.3448275862068966,2726.635727272727
16,15282,0.3229875,0.348875,0.7554872906878689,0.48275862068965514,2439.2677235772353
17,22058,0.15475,0.47240624999999997,0.9940127695458378,1.0,2299.4244827586203
18,15233,0.625,0.04936375,0.8154559691603421,1.0,2299.3095402298845
19,17315,0.4699375,0.305634375,0.8481146849777135,1.0,2298.9647126436776
20,23063,0.6961875,0.8446875,0.9899048307432838,0.6896551724137931,2281.4280451127815
21,24240,0.54145,0.81971875,0.9872665943862186,0.13793103448275862,2021.1992999999995
22,19648,0.3388625,0.729125,0.9257920732441873,0.0,1990.4992999999997
23,13427,0.8625,0.9450937500000001,0.822816528129141,0.6206896551724137,1990.0992999999996
24,22365,0.6961875,0.7759375000000001,0.9769425370437297,0.27586206896551724,1988.5992999999996
25,6041,0.875,0.15625,0.8717383447777376,0.3448275862068966,1820.726636363636
26,18678,0.5236625,0.287284375,0.904035658354415,0.9655172413793103,1666.5827499999998
27,17865,0.8389,0.9353125,0.8504276593181543,0.48275862068965514,1624.1457723577234
28,7302,0.375,0.51525,0.9854234429586796,0.6896551724137931,1503.8340601503758
29,19897,0.31515,0.26500625,0.9429827731598602,0.6896551724137931,1503.8340601503758
30,23156,0.4699375,0.17438437499999998,0.9867606312492471,0.6896551724137931,1503.683684210526
31,18144,0.125,0.405625,0.9203228526683531,0.6896551724137931,1503.3829323308269
32,1476,0.375,0.5625,0.6023370678231538,0.8275862068965517,1111.6662777777779
33,19850,0.19624000000000003,0.26033125,0.9369232622575593,0.8275862068965517,1111.0551666666668
34,20178,0.42247500000000004,0.57128125,0.9518853150222863,0.8275862068965517,1110.9440555555555
35,5473,0.8625,0.184375,0.7276641368509817,0.13793103448275862,1001.3992999999998
36,5603,0.8625,0.29638437500000003,0.8183471870858932,0.6206896551724137,998.4292999999998
37,1857,0.75,0.953125,0.6023370678231538,0.3448275862068966,951.453909090909
38,7693,0.375,0.34684375,0.7478014697024454,0.3448275862068966,909.9084545454544
39,9795,0.875,0.4815625,0.8891097458137575,0.9655172413793103,838.4160833333332
40,17926,0.3625,0.07753125000000001,0.8891699795205397,0.48275862068965514,812.9099999999999
41,4114,0.375,0.275771875,0.9256113721238406,0.3448275862068966,726.9812727272727
42,12648,0.6125,0.9375,0.62643055053608,1.0,701.83908045977
43,11640,0.3625,0.9375,0.62643055053608,1.0,699.8850574712642
44,13024,0.625,0.9375,0.62643055053608,1.0,699.4252873563217
45,12016,0.375,0.9375,0.62643055053608,1.0,695.9770114942527
46,13656,0.8625,0.9375,0.62643055053608,1.0,695.5172413793102
47,11008,0.125,0.9375,0.62643055053608,1.0,694.2528735632183
48,14032,0.875,0.9375,0.62643055053608,1.0,683.103448275862
49,10632,0.1125,0.9375,0.62643055053608,1.0,679.5402298850573
50,11379,0.3625,0.9013125000000001,0.9114323575472835,0.3448275862068966,619.8812727272726
51,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,585.9999999999999
52,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,583.9999999999999
53,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,582.9999999999999
54,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,580.9999999999999
55,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,580.9999999999999
56,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,578.9999999999999
57,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,578.9999999999999
58,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,577.9999999999999
59,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,576.9999999999999
60,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,574.9999999999999
61,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,573.9999999999999
62,12648,0.6125,0.9375,0.62643055053608,0.13793103448275862,572.9999999999999
63,13656,0.8625,0.9375,0.62643055053608,0.13793103448275862,572.9999999999999
64,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,572.7999999999998
65,11640,0.3625,0.9375,0.62643055053608,0.13793103448275862,571.9999999999999
66,14032,0.875,0.9375,0.62643055053608,0.6206896551724137,570.9999999999999
67,10632,0.1125,0.9375,0.62643055053608,0.6206896551724137,569.9999999999999
68,11008,0.125,0.9375,0.62643055053608,0.13793103448275862,567.9999999999999
69,12016,0.375,0.9375,0.62643055053608,0.13793103448275862,566.9999999999999
70,13024,0.625,0.9375,0.62643055053608,0.13793103448275862,565.9999999999999
71,12647,0.6125,0.9375,0.6508384531984098,1.0,565.8620689655171
