rank,node_number,x_n,y_n,z_n,t_n,score
1,14200,0.875,0.6875,0.62643055053608,0.48275862068965514,48809.755447154464
2,9759,0.875,0.4212187500000001,0.8866401638356823,0.6206896551724137,10001.999199999998
3,8662,0.625,0.559375,0.8807252138296592,0.6206896551724137,9002.599299999998
4,13506,0.8625,0.71875,0.655524635586074,0.13793103448275862,6007.499299999999
5,2200,0.0,0.171875,0.62643055053608,0.27586206896551724,6000.099299999999
6,8793,0.625,0.496875,0.92149138657993,0.48275862068965514,5689.349024390243
7,7901,0.3625,0.40625,0.8796530538489338,0.3448275862068966,5457.817545454544
8,13583,0.8625,0.840625,0.6509613299602457,0.3448275862068966,4542.999363636362
9,16914,0.375,0.37128125,0.8280327671364895,0.27586206896551724,4001.799299999999
10,13654,0.8625,0.9375,0.6752463558607397,0.0,3002.3992999999996
11,9833,0.8625,0.49015624999999996,0.9049150704734369,0.3448275862068966,2726.817545454545
12,5071,0.625,0.121875,0.6804637995422238,0.3448275862068966,2726.635727272727
13,15282,0.3229875,0.348875,0.7554872906878689,0.48275862068965514,2440.5685365853656
14,22058,0.15475,0.47240624999999997,0.9940127695458378,1.0,2144.6411416262786
15,6529,0.125,0.53125,0.62643055053608,0.27586206896551724,2001.1992999999995
16,13427,0.8625,0.9450937500000001,0.822816528129141,0.6206896551724137,2000.1992999999995
17,19648,0.3388625,0.729125,0.9257920732441873,0.0,2000.0992999999996
18,22365,0.6961875,0.7759375000000001,0.9769425370437297,0.27586206896551724,2000.0992999999996
19,15640,0.5136000000000001,0.671,0.7891217925551137,0.0,1996.6992999999995
20,22065,0.5532125,0.47046875000000005,0.9809300084327188,0.9655172413793103,1669.416083333333
21,15996,0.625,0.3368625,0.750391519094085,0.9655172413793103,1664.8327499999998
22,18373,0.24392624999999998,0.71346875,0.9116491988916997,0.6896551724137931,1503.683684210526
23,21440,0.5651375,0.5494375,0.9643777858089386,0.6896551724137931,1494.134812030075
24,20178,0.42247500000000004,0.57128125,0.9518853150222863,0.8275862068965517,1117.8329444444444
25,9649,0.875,0.6515625,0.735933020118058,1.0,1003.5319332256325
26,2613,0.1125,0.0328125,0.6955848692928562,0.27586206896551724,999.9792999999999
27,5473,0.8625,0.184375,0.7276641368509817,0.13793103448275862,999.7992999999998
28,5321,0.8625,0.28125,0.8804722322611732,0.48275862068965514,813.251463414634
29,17926,0.3625,0.07753125000000001,0.8891699795205397,0.48275862068965514,813.0888617886178
30,52,0.5625,0.9375,0.62643055053608,1.0,753.429617662897
31,5088,0.625,0.090625,0.6827141308276111,0.6896551724137931,751.4581203007518
32,11379,0.3625,0.9013125000000001,0.9114323575472835,0.3448275862068966,636.3812727272726
33,555,0.0625,0.421875,0.62643055053608,0.8275862068965517,556.1662777777777
34,5466,0.8625,0.15625,0.8717383447777376,0.8275862068965517,555.3551666666667
35,14236,0.875,0.8294374999999998,0.9969883146608842,0.0,500.2293999999999
36,9676,0.875,0.559375,0.8807252138296592,0.6896551724137931,448.164962406015
37,11059,0.125,0.84375,0.675142753885074,1.0,432.64340333871826
38,1803,0.1875,0.90625,0.6023370678231538,0.6206896551724137,400.15939999999995
39,8644,0.625,0.602375,0.8115046379954222,0.13793103448275862,399.33939999999996
40,18396,0.6125,0.7056875,0.882231056499217,0.48275862068965514,326.2027642276422
41,4057,0.375,0.121875,0.7344970485483676,0.6206896551724137,299.9393999999999
42,13219,0.625,0.89396875,0.9368871220334899,0.48275862068965514,243.85317073170728
43,9249,0.6125,0.5758125,0.9325864353692326,0.9655172413793103,166.825
44,9249,0.6125,0.5758125,0.9325864353692326,0.6896551724137931,149.21804511278194
45,7330,0.375,0.5758125,0.9325864353692326,0.9655172413793103,140.075
46,9182,0.6125,0.5745625000000001,0.9472834598241175,0.9655172413793103,136.85833333333332
47,9249,0.6125,0.5758125,0.9325864353692326,0.8275862068965517,126.66666666666667
48,7330,0.375,0.5758125,0.9325864353692326,0.6896551724137931,125.49624060150374
49,9182,0.6125,0.5745625000000001,0.9472834598241175,0.8275862068965517,120.5111111111111
50,9182,0.6125,0.5745625000000001,0.9472834598241175,0.6896551724137931,118.15037593984961
51,20136,0.375,0.56815625,0.9433080351764848,1.0,116.47819063004845
52,20142,0.6125,0.5681875,0.9432478014697024,1.0,114.1626278944534
53,9249,0.6125,0.5758125,0.9325864353692326,1.0,113.75336564351102
54,7376,0.375,0.5745625000000001,0.9472834598241175,0.9655172413793103,111.99999999999999
55,7330,0.375,0.5758125,0.9325864353692326,0.8275862068965517,111.88888888888889
56,20158,0.375,0.56503125,0.9599807252138296,0.9655172413793103,108.83333333333331
57,9250,0.6125,0.5823437499999999,0.9224189856643776,0.9655172413793103,107.33333333333331
58,20142,0.6125,0.5681875,0.9432478014697024,0.9655172413793103,103.83333333333331
59,20162,0.6125,0.56503125,0.9599807252138296,0.9655172413793103,101.16666666666666
60,20136,0.375,0.56815625,0.9433080351764848,0.9655172413793103,100.77499999999999
61,20165,0.4047375000000001,0.56696875,0.9575352367184676,0.9655172413793103,100.66666666666666
62,7377,0.375,0.56759375,0.9567642452716538,0.9655172413793103,99.91666666666666
63,20158,0.375,0.56503125,0.9599807252138296,1.0,99.40764674205707
