rank,node_number,x_n,y_n,z_n,t_n,score
1,2861,0.125,0.258784375,0.8441633538127936,0.0,11344.548582230622
2,18688,0.625,0.2899875,0.8847729189254305,0.13793103448275862,10006.999199999998
3,2666,0.1125,0.102146875,0.8990362606914829,0.13793103448275862,10000.999199999998
4,24121,0.625,0.515,0.9975906517287073,0.6206896551724137,8888.665888888887
5,20009,0.6547375,0.25448125,0.9448379713287555,0.13793103448275862,5997.199299999999
6,12919,0.625,0.7070000000000001,0.8115046379954222,0.6896551724137931,5940.692376237623
7,5940,0.875,0.3375625,0.6440983014094687,0.13793103448275862,5003.299299999999
8,10282,0.8625,0.51090625,0.955957113600771,0.48275862068965514,5000.099299999999
9,15535,0.125,0.65878125,0.7456993133357427,0.13793103448275862,3000.0992999999994
10,23366,0.4047375000000001,0.49428124999999995,0.9877966510059029,0.27586206896551724,2597.531558441558
11,15904,0.4542125,0.33168125000000004,0.7693289965064449,0.0,2527.4093257718964
12,18245,0.565125,0.4025,0.9145886037826767,1.0,2438.779634146341
13,19380,0.6547875000000001,0.11616562500000001,0.955957113600771,1.0,2433.16987804878
14,23816,0.3987375,0.1915875,0.9876761835923381,0.3448275862068966,2236.221444444444
15,17966,0.56515,0.0838,0.8887844837971327,0.6206896551724137,2230.3325555555552
16,16951,0.767775,0.37753125,0.8449704854836765,0.3448275862068966,2221.6658888888883
17,21175,0.2141,0.23650312499999998,0.977159378388146,0.48275862068965514,2004.9992999999997
18,10126,0.8625,0.4375,0.6813612817732804,0.13793103448275862,2000.9992999999997
19,18882,0.4224875,0.59315625,0.9168654378990484,0.9655172413793103,2000.0992999999996
20,13331,0.625,0.9375,0.7660281893747741,0.48275862068965514,1999.7992999999997
21,16930,0.46431249999999996,0.38103125000000004,0.8682327430430068,0.6896551724137931,1979.8012871287126
22,20682,0.6724625,0.12751875,0.9693771834718709,0.8275862068965517,1786.4279464285712
23,1194,0.5625,0.265625,0.6023370678231538,0.0,1132.7402646502835
24,19260,0.6125,0.102578125,0.9233224912661124,0.6206896551724137,1112.3325555555552
25,16099,0.26345,0.63715625,0.7931092639441031,0.48275862068965514,999.9692999999999
26,2376,0.1125,0.090625,0.7952776773882665,0.6896551724137931,987.1379207920791
27,12044,0.375,0.89625,0.8127815925792072,0.6206896551724137,777.588222222222
28,3281,0.3625,0.263153125,0.8866401638356823,1.0,490.8041463414633
29,2790,0.125,0.07712812499999999,0.8743645343934465,0.9655172413793103,490.0093999999999
30,12531,0.6125,0.778125,0.796928080954102,0.27586206896551724,389.5187012987013
31,98,0.5,0.890625,0.62643055053608,0.6206896551724137,222.2104444444444
32,5241,0.625,0.3125,0.8084809059149499,0.27586206896551724,154.93506493506493
33,4244,0.6125,0.3125,0.8084809059149499,0.27586206896551724,153.50649350649348
34,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,151.68831168831167
35,3232,0.3625,0.3125,0.8084809059149499,0.27586206896551724,148.4415584415584
36,5241,0.625,0.3125,0.8084809059149499,0.0,146.94391934467546
37,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,146.2337662337662
38,4244,0.6125,0.3125,0.8084809059149499,0.0,146.0617517328292
39,3232,0.3625,0.3125,0.8084809059149499,1.0,144.30487804878047
40,4229,0.375,0.3125,0.8084809059149499,0.27586206896551724,144.28571428571428
41,5256,0.8625,0.3125,0.8084809059149499,0.0,144.04536862003778
42,3232,0.3625,0.3125,0.8084809059149499,0.0,141.14681789540012
43,5241,0.625,0.3125,0.8084809059149499,1.0,140.26829268292678
44,3217,0.125,0.3125,0.8084809059149499,0.0,137.6181474480151
45,4229,0.375,0.3125,0.8084809059149499,1.0,136.91463414634143
46,4229,0.375,0.3125,0.8084809059149499,0.0,136.35790800252047
47,4244,0.6125,0.3125,0.8084809059149499,1.0,135.21951219512192
48,5241,0.625,0.3125,0.8084809059149499,0.6206896551724137,125.66666666666664
49,3232,0.3625,0.3125,0.8084809059149499,0.6206896551724137,124.99999999999997
50,6253,0.875,0.3125,0.8084809059149499,0.27586206896551724,123.63636363636363
51,5241,0.625,0.3125,0.8084809059149499,0.3448275862068966,123.55555555555553
52,3232,0.3625,0.3125,0.8084809059149499,0.3448275862068966,123.33333333333331
53,4229,0.375,0.3125,0.8084809059149499,0.6206896551724137,122.99999999999997
54,4244,0.6125,0.3125,0.8084809059149499,0.6206896551724137,121.33333333333331
55,4229,0.375,0.3125,0.8084809059149499,0.3448275862068966,121.11111111111109
56,7465,0.375,0.4375,0.7088266473918805,1.0,120.86390243902436
57,4244,0.6125,0.3125,0.8084809059149499,0.13793103448275862,119.99999999999997
58,3217,0.125,0.3125,0.8084809059149499,0.6206896551724137,119.77777777777776
59,4244,0.6125,0.3125,0.8084809059149499,0.3448275862068966,119.2222222222222
60,5256,0.8625,0.3125,0.8084809059149499,0.13793103448275862,118.99999999999997
61,5241,0.625,0.3125,0.8084809059149499,0.13793103448275862,118.99999999999997
62,2220,0.1125,0.3125,0.8084809059149499,0.27586206896551724,117.9220779220779
63,6253,0.875,0.3125,0.8084809059149499,0.0,117.4543163201008
64,3217,0.125,0.3125,0.8084809059149499,0.3448275862068966,115.55555555555553
65,5241,0.625,0.3125,0.8084809059149499,0.9655172413793103,115.08999999999997
66,3232,0.3625,0.3125,0.8084809059149499,0.9655172413793103,114.59999999999998
67,2220,0.1125,0.3125,0.8084809059149499,1.0,114.14634146341461
68,5256,0.8625,0.3125,0.8084809059149499,1.0,113.06097560975607
69,5241,0.625,0.3125,0.8084809059149499,0.6896551724137931,112.99999999999999
70,3232,0.3625,0.3125,0.8084809059149499,0.6896551724137931,112.49504950495047
71,2220,0.1125,0.3125,0.8084809059149499,0.0,112.1613106490233
72,5256,0.8625,0.3125,0.8084809059149499,0.6206896551724137,111.99999999999997
73,4229,0.375,0.3125,0.8084809059149499,0.9655172413793103,111.51999999999998
74,3217,0.125,0.3125,0.8084809059149499,0.48275862068965514,111.19999999999997
75,6253,0.875,0.3125,0.8084809059149499,1.0,111.09756097560974
76,5241,0.625,0.3125,0.8084809059149499,0.48275862068965514,110.99999999999999
77,3217,0.125,0.3125,0.8084809059149499,0.13793103448275862,110.99999999999999
78,3232,0.3625,0.3125,0.8084809059149499,0.13793103448275862,109.99999999999999
79,4229,0.375,0.3125,0.8084809059149499,0.6896551724137931,109.45544554455444
80,5256,0.8625,0.3125,0.8084809059149499,0.3448275862068966,109.39999999999998
81,4229,0.375,0.3125,0.8084809059149499,0.48275862068965514,108.59999999999998
82,3232,0.3625,0.3125,0.8084809059149499,0.48275862068965514,108.29999999999998
