rank,node_number,x_n,y_n,z_n,t_n,score
1,5954,0.875,0.300271875,0.7551740754126008,0.27586206896551724,22225.554666666663
2,1837,0.4375,0.9375,0.6023370678231538,0.9655172413793103,10026.999199999998
3,20493,0.3625,0.1399875,0.9688591735935429,0.27586206896551724,8888.99922222222
4,23049,0.7734125,0.8396250000000001,0.9927237682206963,0.0,8564.999
5,7188,0.1125,0.62940625,0.817094325984821,0.8275862068965517,7826.434173913042
6,10484,0.1125,0.71875,0.8009998795325863,0.6896551724137931,7514.433301886791
7,3433,0.3625,0.15625,0.8226719672328634,0.0,7145.141857142856
8,16132,0.3387125,0.635375,0.8143115287314782,0.6206896551724137,6999.699299999998
9,19744,0.5235125,0.73728125,0.9507529213347788,1.0,6668.443666666665
10,23525,0.24392624999999998,0.80096875,0.9870617997831587,0.9655172413793103,6065.699299999999
11,15927,0.4344875,0.322059375,0.8013853752559932,0.13793103448275862,6000.099299999999
12,17160,0.5889,0.685375,0.8472352728586917,0.3448275862068966,5994.299299999999
13,19435,0.125,0.43062500000000004,0.9584507890615589,0.27586206896551724,5555.332555555555
14,18825,0.5532375,0.6017187500000001,0.8863871822671968,0.3448275862068966,5000.199299999999
15,15345,0.1446775,0.3475625,0.7673653776653414,0.13793103448275862,4998.699299999999
16,22993,0.4344625000000001,0.84859375,0.987411155282496,0.6206896551724137,4971.399299999999
17,23035,0.8625,0.8369375,0.9940127695458378,0.48275862068965514,4895.364201183431
18,18251,0.8625,0.405625,0.9069871099867486,0.6896551724137931,4717.074811320754
19,20735,0.12499999999999992,0.43690625,0.9659559089266353,0.27586206896551724,4444.332555555555
20,574,0.75,0.390625,0.62643055053608,0.27586206896551724,4444.2214444444435
21,19831,0.3625,0.25570312500000003,0.9432478014697024,0.9655172413793103,4000.1992999999993
22,380,0.6875,0.59375,0.62643055053608,0.3448275862068966,3998.9992999999995
23,15136,0.4145125,0.036373125,0.7554872906878689,0.6896551724137931,3773.6785849056596
24,19027,0.14867375,0.9134375,0.9016985905312612,0.8275862068965517,3472.0863478260862
25,7657,0.375,0.559375,0.9468497771352848,0.6206896551724137,3000.3992999999996
26,13442,0.8625,0.844125,0.9902300927599084,0.13793103448275862,2065.6992999999998
27,14232,0.875,0.8586874999999999,0.9796651005902903,0.13793103448275862,2050.0992999999994
28,14255,0.875,0.6950000000000001,0.8718226719672328,0.3448275862068966,1992.0992999999996
29,210,0.0625,0.78125,0.62643055053608,0.6896551724137931,1874.055943396226
30,11810,0.3625,0.8004999999999999,0.8906396819660282,0.48275862068965514,1001.1827416173568
31,13972,0.875,0.84603125,0.8808095410191542,0.48275862068965514,1000.0979289940826
32,9302,0.8625,0.50559375,0.8852547885796891,0.13793103448275862,995.4592999999999
33,9458,0.875,0.3795,0.7440320443320082,0.6896551724137931,941.2446226415093
34,4333,0.6125,0.28247187500000004,0.9134441633538127,0.8275862068965517,869.2950434782607
35,9020,0.6125,0.5625,0.7885315022286471,0.8275862068965517,866.4428695652173
36,9848,0.8625,0.4375,0.8807252138296592,0.13793103448275862,700.4693999999998
37,13142,0.625,0.778125,0.675142753885074,0.6206896551724137,665.0793999999999
38,3872,0.375,0.252184375,0.8525719792796047,0.8275862068965517,608.6255652173912
39,11516,0.3625,0.77103125,0.8653776653415252,0.27586206896551724,590.8548888888888
40,4766,0.625,0.14876562499999998,0.9005421033610408,0.6206896551724137,499.7093999999999
41,2103,1.0,0.828125,0.62643055053608,0.6206896551724137,484.92939999999993
42,9150,0.6125,0.39828125000000003,0.7859414528370076,1.0,443.6326666666666
43,11640,0.3625,0.9375,0.62643055053608,0.0,384.99999999999994
44,12648,0.6125,0.9375,0.62643055053608,0.0,382.5714285714285
45,12016,0.375,0.9375,0.62643055053608,0.0,378.4285714285714
46,13024,0.625,0.9375,0.62643055053608,0.0,377.85714285714283
47,10632,0.1125,0.9375,0.62643055053608,0.0,372.99999999999994
48,13656,0.8625,0.9375,0.62643055053608,0.0,372.2857142857142
49,14032,0.875,0.9375,0.62643055053608,0.0,371.1428571428571
50,11008,0.125,0.9375,0.62643055053608,0.0,362.1428571428571
51,2044,1.0,0.09375,0.6023370678231538,0.8275862068965517,347.86904347826083
52,11640,0.3625,0.9375,0.62643055053608,1.0,331.4444444444444
53,12648,0.6125,0.9375,0.62643055053608,1.0,330.4444444444444
54,8985,0.6125,0.625,0.6996542585230695,0.27586206896551724,326.0215555555555
55,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,324.33333333333326
56,13024,0.625,0.9375,0.62643055053608,1.0,323.11111111111103
57,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,322.33333333333326
58,12016,0.375,0.9375,0.62643055053608,1.0,322.11111111111103
59,10632,0.1125,0.9375,0.62643055053608,1.0,320.33333333333326
60,14032,0.875,0.9375,0.62643055053608,1.0,316.2222222222222
61,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,314.8888888888888
