rank,node_number,x_n,y_n,z_n,t_n,score
1,5917,0.875,0.326846875,0.7344705457173835,0.13793103448275862,7001.999299999999
2,2982,0.125,0.208621875,0.8749909649439825,0.27586206896551724,6670.776999999998
3,18175,0.517775,0.39940625,0.895084929526563,1.0,6666.8881111111095
4,7456,0.375,0.434375,0.7615106613661005,0.6206896551724137,5998.999299999999
5,22470,0.24375,0.216571875,0.9916877484640403,0.9655172413793103,5660.754056603772
6,17953,0.315125,0.09000625,0.9145886037826767,1.0,5556.5547777777765
7,837,0.25,0.125,0.62643055053608,0.0,5063.037088607594
8,15481,0.7636000000000001,0.3585,0.7891217925551137,0.13793103448275862,5000.799299999999
9,16862,0.3327375,0.38490625,0.8775448741115528,0.13793103448275862,5000.599299999999
10,21459,0.4641,0.549,0.977159378388146,0.8275862068965517,5000.166083333333
11,23155,0.4462125,0.17594062500000002,0.9870617997831587,0.6206896551724137,4998.699299999999
12,19364,0.8625,0.1181125,0.9584507890615589,0.6206896551724137,4992.799299999999
13,16046,0.704225,0.33168125000000004,0.7855800505963136,0.3448275862068966,4955.199299999999
14,24073,0.434375,0.5033125,0.99979520539694,0.9655172413793103,4716.791792452829
15,17245,0.3151625,0.308759375,0.8399349475966751,0.9655172413793103,4703.018207547169
16,18902,0.6546375,0.6036875,0.882231056499217,0.8275862068965517,4166.83275
17,1488,0.1875,0.578125,0.6023370678231538,0.13793103448275862,4000.0992999999994
18,21856,0.375,0.1587375,0.9813155041561258,0.9655172413793103,3792.5465094339615
19,5139,0.625,0.182234375,0.9998795325864354,0.6896551724137931,3738.504018691588
20,15243,0.791575,0.04159125,0.790350560173473,0.3448275862068966,3008.4992999999995
21,9381,0.875,0.625,0.7448066498012287,0.6206896551724137,2999.6992999999993
22,8374,0.625,0.6379374999999999,0.7905914950006022,0.3448275862068966,2999.4992999999995
23,5666,0.8625,0.040591875,0.7470545717383447,0.9655172413793103,2890.8483962264145
24,6847,0.1125,0.3943125,0.7915190940850501,0.0,2526.20164556962
25,3824,0.375,0.059375,0.8297072641850378,1.0,2210.8881111111104
26,4162,0.375,0.28125,0.8586073966991927,0.3448275862068966,996.1492999999998
27,12001,0.375,0.9640625,0.7157583423683893,0.6206896551724137,799.9193999999999
28,3479,0.3625,0.215625,0.8471991326346222,0.6206896551724137,693.5493999999999
29,11666,0.3625,0.934375,0.8107697867726779,0.27586206896551724,666.6548888888888
30,8537,0.625,0.528125,0.6509613299602457,0.6206896551724137,599.9593999999998
31,10122,0.8625,0.4375,0.8461510661366101,0.0,506.4675949367088
32,4530,0.6125,0.278125,0.6846187206360679,0.3448275862068966,499.1393999999999
33,13823,0.8625,0.7898125,0.945319840983014,0.0,253.113164556962
34,5630,0.8625,0.100115625,0.8250090350560174,1.0,208.06599999999995
35,10868,0.125,0.7403125,0.8742561137212383,0.13793103448275862,200.00939999999997
36,3217,0.125,0.3125,0.8084809059149499,0.0,193.67088607594934
37,5256,0.8625,0.3125,0.8084809059149499,0.0,189.87341772151896
38,3217,0.125,0.3125,0.8084809059149499,1.0,174.55555555555551
39,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,173.3333333333333
40,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,167.77777777777774
41,4244,0.6125,0.3125,0.8084809059149499,0.0,161.51898734177215
42,5256,0.8625,0.3125,0.8084809059149499,1.0,160.77777777777774
